"school_id","school_name","address","nearest_park_distance_m"
330,"Münchenkolleg, Gymnasium des Zweiten Bildungsweges","Schlierseestraße 47",2015.2424803077463
22,"Helene Habermann Gymnasium","Lincolnstraße 92",2020.5666842147184
173,"Abendgymnasium","Schlierseestraße 47",2023.562408799129
320,"Städtische Rainer-Werner-Fassbinder-Fachoberschule für Sozialwesen","Schlierseestraße 47",2024.002338230936
111,"Städtisches Lion-Feuchtwanger-Gymnasium","Freiligrathstraße 71",2025.6026146024592
426,"Sozialpädagogische Schulen","Schlierseestraße 47",2026.5736678311964
27,"Städtische Berufsschule für das Hotel, Gaststätten- und Braugewerbe","Simon-Knoll-Platz 3",2028.64718832331
297,"Grundschule an der Südlichen Auffahrtsallee","Südliche Auffahrtsallee 82",2029.0246045314504
278,NULL,NULL,2033.3242579029882
268,NULL,NULL,2034.0791924767161
195,"Sonderpädagogisches Förderzentrum München-Mitte 2 Filiale Kirchenstr. 13","Kirchenstraße 13",2036.351366107766
233,"Marieluise-Fleißer-Realschule","Aschauer Straße 9",2041.5444254092677
188,"Pflegeschule der Schwesternschaft vom BRK","Rotkreuzplatz 8",2041.6204700894034
246,"Grundschule an der Grandlstraße","Grandlstraße 5a",2044.492990188423
395,"Schkola Nr.1",NULL,2044.9402263176046
107,"Grundschule an der Balanstraße 153",NULL,2044.9426669124525
318,"Gut Warnberg Schulgelände",NULL,2052.394583663357
368,"Sabel","Schwanthalerstraße 51",2053.464206060852
334,"Stiftung ICP München","Garmischer Straße 241",2057.879498900421
331,"Deutschinstitut Integra","Goethestraße 28",2065.9950157573458
362,"Erzbischöfliches Maria-Ward-Gymnasium Nymphenburg","Maria-Ward-Straße 5",2067.135445690567
65,NULL,"Grandlstraße 5",2073.1163610668905
100,"Erasmus-Grasser-Gymnasium","Gilmstraße 2",2075.2901304604575
391,"Grundschule an der Kirchenstraße","Kirchenstraße 11",2077.3471349399024
117,"Grundschule an der Kirchenstraße",NULL,2078.970841446312
404,"Städtische Maria-Probst-Realschule","Gotzinger Platz 1a",2079.5266039335525
381,"Erzbischöfliche Maria-Ward-Realschule Nymphenburg","Maria-Ward-Straße 5",2081.5235321137384
374,"Städt. Berufsschule für Augenoptik","Marsplatz 8",2086.4298282804584
92,"Grundschule Feldmochinger Straße 251","Feldmochinger Straße 251",2086.463966032687
241,"Städt. Bildungszentrum für Augenoptik und Optometrie","Marsplatz 8",2090.2361491576917
328,"Berufsschule zur Berufsintegration","Balanstraße 208",2101.7942736796003
25,"Max-Planck-Gymnasium","Weinbergerstraße 29",2106.976136497459
405,"Grundschule am Gotzinger Platz","Gotzinger Platz 1",2108.13345082634
375,"Städt. Fachschule für Augenoptik","Marsplatz 8",2109.311903589213
406,"Mittelschule am Gotzinger Platz 1","Gotzinger Platz 1",2112.189895315894
325,"Sabel GBS Fachschulen","Goethestraße 12",2113.153004375339
255,"Grundschule Maria-Ward-Straße","Maria-Ward-Straße 1",2120.515170585156
63,"Asam-Gymnasium",NULL,2123.08649927126
416,"Grundschule Blumenau","Blumenauer Straße 11",2124.965736115931
134,"Grund- und Mittelschule an der Stuntzstraße 55",NULL,2131.177365767013
201,"Hablas Español","Blutenburgstraße 41a",2133.090624415186
108,"Städtische Berufsschulen Balanstraße 208",NULL,2133.297409583308
266,"Stiftung Journalistenakademie Dr. Hooffacker GmbH & Co. KG","Renatastraße 41",2133.604296732923
10,"Mittelschule Blumenau","Blumenauer Straße 11",2139.1784383421223
144,"Grundschule am Hildegard-von-Bingen-Anger",NULL,2164.7770703516608
175,NULL,NULL,2166.376569663255
30,"Staatliche Grundschule Markgrafenstraße","Markgrafenstraße 33",2169.047142112158
116,"Städtische Balthasar-Neumann Realschule",NULL,2175.2939649565033
267,"Japanische Internationale Schule München","Bleyerstraße 4",2182.323327181763
80,"Grundschule Max-Kolmsperger-Straße 6","Max-Kolmsperger-Straße 6",2184.883994743901
167,"Grundschule an der Blutenburgstraße",NULL,2186.8127382980374
279,"Grundschule an der Oberföhringer Straße","Oberföhringer Straße 224b",2191.215794424321
128,"Grundschule Tumblingerstrasse","Tumblingerstraße 6",2198.006718241796
140,"Grundschule an der Gilmstraße",NULL,2232.633404428946
138,"Förderschule an der Gilmstraße",NULL,2233.5696698575625
7,"Ludwigsgymnasium","Fürstenrieder Straße 159a",2236.0633932347987
118,"Maria-Theresia-Gymnasium","Regerplatz 1",2236.1204946251546
82,"Städtische Rudolf-Diesel-Realschule","Schulstraße 3",2243.4546222843082
282,NULL,NULL,2247.947039769676
420,"Grundschule an der Infanteriestraße 25",NULL,2250.5815384267025
410,"Mittelschule Ichostraße 2","Ichostraße 2",2251.974462327034
411,"Grundschule und Tagesstätte Ichostraße 2","Ichostraße 2",2256.6978782290244
247,"Grundschule an der Ruth-Drexel-Straße",NULL,2262.747437363184
44,"Grundschule an der Farinellistraße","Farinellistraße 7",2263.1029843226306
